Disease,Recommended Diet,Avoid / Restrict
Niacin Deficiency,"chicken, peanuts, mushrooms, sunflower seeds, eggs, fish","Alcohol (beer, whisky), Sugary foods (chocolate, sweets), Junk food (burger, noodles), Fried foods (fries, poori), Coca-Cola/Pepsi (soft drinks)"
Obesity,"oats, salads, apples, papaya, nuts, green tea","Fried foods (fries, samosa), Sweets (chocolate, candy), Soft drinks (Coke, Pepsi), Junk food (pizza, burger), Bakery items (cake, pastry)"
Omega-3 Deficiency,"walnuts, flaxseeds, chia seeds, fish, soybeans, spinach","Fried foods (samosa, poori), Processed oils (refined oils), Packaged snacks (namkeen, chips), Junk food (pizza, chowmein), Coca-Cola/Pepsi (soft drinks)"
Osteoarthristis,"Salmon/Fish, Turmeric milk, Spinach, Almonds, Olive oil, Oranges","Fried foods, Red meat, Bakery items, Sugary drinks, Excess salt snacks"
Peptic ulcer disease,"Banana, Oatmeal, Coconut water, Boiled vegetables, Turmeric milk, Buttermilk","Spicy foods, Fried foods, Coffee, Acidic foods (lemon/tomato), Soft drinks (Coca-Cola/Pepsi)"
Phosphorus Deficiency,"eggs, milk, fish, nuts, chicken, lentils","Soft drinks (Coca-Cola, Pepsi), Excess sugar (sweets), Junk food (pizza, chowmein), Fried items (pakora, fries), Packaged snacks (biscuits, chips)"
Pneumonia,"Warm soups, honey, ginger tea, whole grains, fruits rich in vitamin C & A, protein-rich diet (eggs, pulses)","Cold drinks, fried food, sugary items"
Potassium Deficiency,"banana, coconut water, sweet potato, spinach, oranges, yogurt","Salty snacks (namkeen), Processed food (packaged meals), Chips (potato chips), Pickles (achar), Coca-Cola/Pepsi (soft drinks)"
Psoriasis,"Fatty fish (salmon), Spinach, Turmeric milk, Almonds, Olive oil, Berries","Red meat, Fried foods, Bakery items, Sugary drinks (Coca-Cola/Pepsi), Spicy foods"
Protein Deficiency,"eggs, milk, dal, chicken, paneer, curd","Junk food (burger, pizza), Sugary foods (candy, sweets), Fried foods (samosa, fries), Soft drinks (Coca-Cola, Pepsi), Chips (potato chips)"
Pyridoxine Deficiency,"banana, chicken, fish, potatoes, spinach, beans","Alcohol (rum, beer), Sugary snacks (candy, chocolate), Fried foods (fries, samosa), Junk food (momos, pizza), Coca-Cola/Pepsi (soft drinks)"
Riboflavin Deficiency,"milk, eggs, spinach, almonds, mushrooms, yogurt","Alcohol (beer, whisky), Processed snacks (chips, puffs), Junk food (pizza, burger), Sugary foods (sweets, chocolate), Pepsi/Fanta (soft drinks)"
Selenium Deficiency,"eggs, fish, sunflower seeds, brown rice, spinach, chicken","Fried foods (pakora, samosa), Alcohol (beer, whisky), Junk food (burger, pizza), Sugary snacks (chocolate, candy), Coca-Cola/Pepsi (soft drinks)"
Sodium Deficiency,"ORS, soups, salted nuts, buttermilk, coconut water, bananas","Alcohol (beer, vodka), Excess water (too much intake), Sugary drinks (Maaza, Frooti), Soda (Coke, 7Up), Junk food (pizza, burger)"
Sulphur Deficiency,"garlic, onion, eggs, broccoli, cabbage, pulses","Processed foods (chips, biscuits), Junk food (pizza, burger), Fried foods (fries, samosa), Alcohol (beer, whisky), Coca-Cola/Pepsi (soft drinks) Processed meat (sausages), Onion rings."
Thiamine Deficiency,"whole grains, nuts, seeds, legumes, eggs, oranges","Alcohol (rum, beer), Polished rice excess (white rice), Sugary snacks (candy, chocolate), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks)"
Tuberculosis,"Eggs, Milk, Bananas, Paneer, Rice + dal (soft), Turmeric milk","Fried foods, Junk food, Alcohol, Spicy foods, Soft drinks (Coca-Cola/Pepsi)"
Typhoid,"Soft,(khichdi, porridge, boiled vegetables, curd), fluids, fruit juices","Spicy/fried food, raw veggies, high-fiber food"
Urinary tract infection,"Plenty of water (3 4 L daily),Cranberry juice (unsweetened), coconut water,Vitamin C rich fruits (amla, orange, lemon),Barley water, cucumber, watermelon","Caffeine, alcohol, very spicy foods, fried junk foods."
Vitamin A Deficiency,"carrot, sweet potato, papaya, spinach, eggs, milk","Alcohol (beer, whisky), Fried foods (fries, samosa), Junk food (pizza, burger), Coca-Cola/Pepsi (soft drinks), Chips (potato chips)"
Vitamin A1 Deficiency,"carrot, papaya, spinach, eggs, sweet potato, milk","Alcohol (whisky, beer), Fried foods (samosa, pakora), Junk food (pizza, burger), Sugary drinks (Maaza, Frooti), Chips (potato chips)"
Vitamin B1 Deficiency (Beriberi),"whole grains, nuts, seeds, legumes, eggs, oranges","Alcohol (beer, whisky), White rice excess (polished rice), Sugary snacks (chocolate, candy), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks)"
Vitamin B12 Deficiency,"eggs, milk, paneer, curd, fish, fortified cereals","Alcohol (rum, whisky), Processed foods (packaged snacks), Junk foods (pizza, burger), Fried items (pakora, fries), Sweet drinks (Fanta, Frooti)"
Vitamin B2 Deficiency,"eggs, milk, almonds, mushrooms, spinach, yogurt","Alcohol (rum, beer), Processed snacks (chips, puffs), Junk food (pizza, burger), Sugary foods (sweets, chocolate), Fanta/Frooti (sweet drinks)"
Vitamin B5 Deficiency,"mushrooms, eggs, avocado, broccoli, chicken, whole grains","Alcohol (rum, beer), Junk food (burger, pizza), Fried foods (pakora, fries), Sugary snacks (candy, chocolate), Coca-Cola/Pepsi (soft drinks),Sweet cold coffee (iced coffee with sugar)"
Vitamin B6 Deficiency,"banana, chicken, fish, potatoes, spinach, lentils","Alcohol (rum, beer), Sugary foods (sweets, chocolate), Processed snacks (biscuits, namkeen), Fried foods (pakora, fries), Coca-Cola/Pepsi (soft drinks)"
Vitamin B9 Deficiency,"spinach, lentils, beans, banana, oranges, broccoli","Alcohol (beer, whisky), Fried food (samosa, fries), Sugary snacks (chocolate, sweets), Junk food (pizza, chowmein), Pepsi/Fanta (soft drinks),White pasta (refined)"
Vitamin C Deficiency,"orange, lemon, amla, guava, strawberries, broccoli","Fried foods (samosa, pakora), Alcohol (beer, whisky), Packaged snacks (biscuits, namkeen), Sweet drinks (Maaza, Frooti), Chips (potato chips)"
Vitamin D Deficiency,"milk, eggs, mushrooms, paneer, fortified cereals, salmon","Junk food (pizza, burger), Alcohol (beer, whisky), Fried foods (fries, samosa), Sugary drinks (Coca-Cola, Pepsi, Maaza)"
Vitamin D3 Deficiency,"milk, eggs, mushrooms, fish, paneer, fortified cereals","Alcohol (rum, beer), Fried foods (fries, pakora), Junk food (burger, momos), Coca-Cola/Pepsi (soft drinks), Sweet juices (Maaza, Frooti),Excess butter (too much ghee)"
Vitamin H (Biotin) Deficiency,"eggs, almonds, walnuts, spinach, bananas, sweet potato","Alcohol (beer, whisky), Processed food (packaged snacks), Fried items (fries, pakora), Junk food (momos, burger), Coca-Cola/Pepsi (soft drinks)"
Vitamin K Deficiency,"spinach, broccoli, cabbage, green beans, kiwi, eggs","Alcohol (rum, beer), Fried foods (pakora, fries), Junk food (momos, burger), Packaged snacks (biscuits, namkeen), Coca-Cola/Pepsi (soft drinks)"
Vitamin K2 Deficiency,"eggs, cheese, curd, chicken, spinach, broccoli","Alcohol (beer, whisky), Junk food (pizza, burger), Fried foods (samosa, fries), Packaged snacks (namkeen, chips), Pepsi/Fanta (soft drinks)"
Water Deficiency (Dehydration),"water, ORS, coconut water, watermelon, cucumber, buttermilk","Alcohol (beer, rum), Soft drinks (Coca-Cola, Pepsi), Energy drinks (Red Bull), Sweet juices (Maaza, Frooti), Tea excess (too much tea)"
Zinc Deficiency,"pumpkin seeds, nuts, beans, lentils, eggs, yogurt","Alcohol (beer, rum), Sugary foods (sweets, chocolate), Coca-Cola/Pepsi/Fanta (soft drinks), Junk food (burger, pizza), Fried items (pakora, fries)"
